feature_id,category,name,surface,kind,tier,external_dep,proof_test,negative_control,status,notes
F-066,Migration & Update,`--auto-correct` Flag,,feature,unit,none,,,UNPROVEN,
F-067,Migration & Update,`--scan-security` Flag,,feature,unit,none,,,UNPROVEN,
F-068,Migration & Update,`available_workflows` Fenced Section,,feature,unit,none,,,UNPROVEN,
F-069,Migration & Update,Update Deployment Protocol & Fleet Update (`--fleet DIR`),,feature,unit,none,,,UNPROVEN,
F-070,Safety & Backups,Automatic Backup Before Writes,,feature,unit,none,,,UNPROVEN,"seed skipped, test id(s) not collectible: ['tests/test_emit_backup.py::test_backup_created_before_overwrite', 'tests/test_emit_backup.py::test_no_backup_flag_skips_backup']"
F-071,Safety & Backups,Backup Storage,,feature,unit,none,,,UNPROVEN,
F-072,Safety & Backups,`--no-backup` Flag,,feature,unit,none,,,UNPROVEN,
F-073,Safety & Backups,`--list-backups` Flag,,feature,unit,none,,,UNPROVEN,"seed skipped, test id(s) not collectible: ['tests/test_emit_backup.py::test_list_backups_returns_sorted_timestamps', 'tests/test_emit_backup.py::test_list_backups_empty_when_no_backups']"
F-074,Safety & Backups,`--restore-backup [TIMESTAMP|latest]` Flag,,feature,unit,none,,,UNPROVEN,
F-075,Safety & Backups,`emit.backup_output_dir()` / `emit.list_backups()` / `emit.restore_backup()`,,feature,unit,none,tests/test_emit.py::test_backup_skipped_when_output_dir_missing,,UNPROVEN,
F-076,Governance Agents,`@navigator`,,feature,unit,none,,,UNPROVEN,
F-077,Governance Agents,`@security`,,feature,unit,none,,,UNPROVEN,
F-078,Governance Agents,`@code-hygiene`,,feature,unit,none,,,UNPROVEN,
F-079,Governance Agents,`@adversarial`,,feature,unit,none,,,UNPROVEN,
F-080,Governance Agents,`@conflict-auditor`,,feature,unit,none,,,UNPROVEN,
F-081,Governance Agents,`@conflict-resolution`,,feature,unit,none,,,UNPROVEN,
F-082,Governance Agents,`@cleanup`,,feature,unit,none,,,UNPROVEN,
F-083,Governance Agents,`@agent-updater`,,feature,unit,none,,,UNPROVEN,
F-084,Governance Agents,`@agent-refactor`,,feature,unit,none,,,UNPROVEN,
F-085,Governance Agents,`@repo-liaison`,,feature,unit,none,,,UNPROVEN,
F-086,Governance Agents,`@git-operations`,,feature,unit,none,,,UNPROVEN,
F-087,Workflows,Workflow 1 — Produce Deliverable,,feature,unit,none,,,UNPROVEN,
F-088,Workflows,Workflow 2 — Revise Deliverable,,feature,unit,none,,,UNPROVEN,
F-089,Workflows,Workflow 3 — Technical Accuracy Audit,,feature,unit,none,,,UNPROVEN,
F-090,Workflows,Workflow 4 — Compile Final Output,,feature,unit,none,,,UNPROVEN,
F-091,Workflows,Workflow 5 — Consistency Review,,feature,unit,none,,,UNPROVEN,
F-092,Workflows,Workflow 6 — Documentation Maintenance,,feature,unit,none,,,UNPROVEN,
F-093,Workflows,Workflow 7 — Cleanup,,feature,unit,none,,,UNPROVEN,
F-094,Workflows,Workflow 8 — Code Hygiene Audit,,feature,unit,none,,,UNPROVEN,
F-095,Workflows,Workflow 9 — Cross-Repository Coordination,,feature,unit,none,,,UNPROVEN,
F-096,Workflows,Workflow 10 — Plan Documentation & Review,,feature,unit,none,,,UNPROVEN,
F-097,Workflows,Workflow 10B — Work Summary Reporting,,feature,unit,none,,,UNPROVEN,
F-098,Workflows,Workflow 10C — Post-Production Audit Verification (Optional),,feature,unit,none,,,UNPROVEN,
F-099,Workflows,Workflow 11 — Final Check (Part A),,feature,unit,none,,,UNPROVEN,
F-100,Workflows,Workflow 11 — Final Check (Part B),,feature,unit,none,,,UNPROVEN,
F-101,Governance Infrastructure,Constitutional Rules,,feature,unit,none,,,UNPROVEN,
F-102,Governance Infrastructure,Authority Hierarchy,,feature,unit,none,,,UNPROVEN,
F-103,Governance Infrastructure,Automatic `@agent-updater` Routing in Documentation-Impact Workflows,,feature,unit,none,,,UNPROVEN,
F-104,Governance Infrastructure,`@adversarial` Guards in Audit Workflows,,feature,unit,none,,,UNPROVEN,
F-105,Governance Infrastructure,Pre-Execution Truth Check,,feature,unit,none,,,UNPROVEN,
F-106,Governance Infrastructure,Drift-as-Trigger,,feature,unit,none,,,UNPROVEN,
F-107,Governance Infrastructure,Initialization-as-Trigger,,feature,unit,none,,,UNPROVEN,
F-108,Governance Infrastructure,Update Lifecycle Trigger Contract,,feature,unit,none,,,UNPROVEN,
F-109,Governance Infrastructure,Missing Expected Output Recovery Trigger,,feature,unit,none,,,UNPROVEN,
F-110,Governance Infrastructure,Cross-Repository Security Rule,,feature,unit,none,,,UNPROVEN,
F-111,Governance Infrastructure,User-Editable Gap Safety Pattern,,feature,unit,none,,,UNPROVEN,
F-112,Governance Infrastructure,Post-Production Closure Gate Artifacts,,feature,unit,none,,,UNPROVEN,
F-113,Interoperability,`convert` Module,,feature,unit,none,,,UNPROVEN,
F-114,Interoperability,`--convert-from` Flag,,feature,unit,none,,,UNPROVEN,
F-115,Interoperability,File Classification,,feature,unit,none,,,UNPROVEN,
F-116,Interoperability,`interop` Module,,feature,unit,none,,,UNPROVEN,
F-117,Interoperability,`--interop-from` Flag,,feature,unit,none,,,UNPROVEN,
F-118,Interoperability,`bridge` Module,,feature,unit,none,tests/test_bridge.py::test_every_emitted_claude_skill_matches_the_discovery_contract,tests/test_bridge.py::test_bridge_skips_recall_skill_when_disabled,proven,"Proof: every emitted skill is <name>/SKILL.md, the only shape Claude Code loads. Negative control: --bridge-no-skills suppresses emission, so the proof cannot pass by emitting nothing at all."
F-119,Interoperability,`--bridge-from` Flag,,feature,unit,none,,,UNPROVEN,
F-120,Interoperability,Runtime Handoff Manifest,,feature,unit,none,,,UNPROVEN,
F-121,Bridge Automation,`run_daily_bridge_maintenance.sh`,,feature,unit,none,tests/test_bridge_automation.py::test_daily_bridge_maintenance_script_contains_required_phases,,UNPROVEN,
F-122,Bridge Automation,`bridge-maintenance.yml` CI Workflow,,feature,unit,none,tests/test_bridge_automation.py::test_bridge_maintenance_workflow_invokes_script_and_uploads_summary,,UNPROVEN,
F-123,Bridge Automation,`bridge-watchdog.yml` CI Workflow,,feature,unit,none,tests/test_bridge_automation.py::test_bridge_watchdog_workflow_checks_staleness_and_dedupes_issue,,UNPROVEN,
F-124,Bridge Automation,Bridge Staleness Detection,,feature,unit,none,,,UNPROVEN,
F-125,Bridge Automation,Deduplicated Issue Creation,,feature,unit,none,,,UNPROVEN,
F-126,Bridge Automation,CI Fallback Mechanism,,feature,unit,none,,,UNPROVEN,
F-127,Bridge Automation,Snapshot Archive,,feature,unit,none,,,UNPROVEN,
F-128,Cross-Repository Support,`@repo-liaison` Agent,,feature,unit,none,,,UNPROVEN,
F-129,Cross-Repository Support,`references/adjacent-repos.md`,,feature,unit,none,,,UNPROVEN,
F-130,Cross-Repository Support,Protocol 1 — Impact Assessment,,feature,unit,none,,,UNPROVEN,
F-131,Cross-Repository Support,Protocol 2 — Adjacent Updates,,feature,unit,none,,,UNPROVEN,
F-132,Cross-Repository Support,Protocol 3 — Orchestrator Coordination,,feature,unit,none,,,UNPROVEN,
F-133,Cross-Repository Support,`@repo-liaison` in Constitutional Rules,,feature,unit,none,,,UNPROVEN,
F-134,Cross-Repository Support,`orchestrator-workflows.reference.md`,,feature,unit,none,tests/test_rendered_fence_balance.py::test_rendered_fences_are_balanced[.github/agents/references/orchestrator-workflows.reference.md],,UNPROVEN,
F-135,Drift Trust & Delivery Gating,`FINGERPRINT_ALGO_VERSION` Constant,,feature,unit,none,tests/test_drift.py::test_fingerprint_algo_version_pinned,,UNPROVEN,
F-136,Drift Trust & Delivery Gating,Algo-Bump Migration Mechanism,,feature,unit,none,,,UNPROVEN,
F-137,Drift Trust & Delivery Gating,Observable Baseline Self-Heal on `--update`,,feature,unit,none,,,UNPROVEN,
F-138,Drift Trust & Delivery Gating,`refine_manifest_promotion` Render-Faithful Reconciliation,,feature,unit,none,,,UNPROVEN,
F-139,Drift Trust & Delivery Gating,`--check` Option C Render-Faithful Mode,,feature,unit,none,,,UNPROVEN,
F-140,Drift Trust & Delivery Gating,`--check` / `--update --dry-run` Parity Contract,,feature,unit,none,tests/test_integration.py::test_check_parity_with_update_dry_run,,UNPROVEN,
F-141,Drift Trust & Delivery Gating,Delivery Receipt Artifact,,feature,unit,none,,,UNPROVEN,
F-142,Drift Trust & Delivery Gating,`schemas/delivery-receipt.schema.json`,,feature,unit,none,,,UNPROVEN,
F-143,Drift Trust & Delivery Gating,`docs_src/delivery-procedure.md` Operator Guide,,feature,unit,none,,,UNPROVEN,
F-144,Retrieval & Review-Time Utilities,Confidence-Tiered Retrieval,,feature,unit,none,,,UNPROVEN,
F-145,Retrieval & Review-Time Utilities,`agentteams.scan` Review-Time Invocability,,feature,unit,none,,,UNPROVEN,
F-146,Retrieval & Review-Time Utilities,`session_scan` Module,,feature,unit,none,,,UNPROVEN,
F-147,Feature Audit,Machine-Readable Feature Registry,references/feature-registry.csv,feature,unit,none,tests/test_feature_registry.py::test_registry_binds_to_the_inventory_per_feature,tests/test_feature_registry.py::test_every_named_test_id_actually_resolves,proven,Proof: registry and inventory agree per feature. Negative control: every named test id resolves - a registry pointing at renamed tests reads as coverage and provides none.
F-148,Feature Audit,Per-Tier Proof Enforcement,agentteams/feature_audit.py::classify,feature,unit,none,tests/test_feature_registry.py::test_an_empty_tier_is_a_finding_even_when_another_tier_proved_something,tests/test_feature_registry.py::test_an_all_waived_tier_is_exempt_rather_than_a_finding,proven,Proof: an empty tier is flagged even when another tier passed. Negative control: an all-not-provable tier is NOT flagged - without it the guard could pass by flagging everything.
F-149,Feature Audit,Live-Tier Reachability Classification,agentteams/feature_audit.py::_looks_unreachable,feature,unit,none,tests/test_feature_registry.py::test_anti_bot_challenges_are_unreachable_not_failures,tests/test_feature_registry.py::test_a_real_assertion_failure_is_never_excused_as_unreachable,proven,Proof: transport signatures classify as unreachable. Negative control: a plain assertion failure is NOT excused - the whole value depends on the excuse staying narrow.
F-150,Feature Audit,End-to-End CLI Probes,tests/test_e2e_probes.py,feature,e2e,none,tests/test_e2e_probes.py::test_cli_generates_a_usable_team_into_an_empty_tree,tests/test_e2e_probes.py::test_a_generate_into_a_nonexistent_project_does_not_silently_succeed,proven,Proof: a full generate writes an invocable team. Negative control: a missing descriptor is rejected - a generator that writes regardless would satisfy the proof while being broken.
F-151,Feature Audit,Live-Tier External Probes,tests/test_live_probes.py,feature,live,network:scholar,tests/test_live_probes.py::test_research_scholar_returns_identified_works,tests/test_live_probes.py::test_scholar_host_allowlist_is_enforced,proven,"Proof: the scholarly indexes still answer AND still carry identifiers - asserting only that a title returned would pass on a degraded response that cannot be cited. Negative control: the host allowlist is still enforced, so the proof cannot pass while the path has become an open fetcher. SEARCH is deliberately NOT registered as proven: measured 2026-08-07 returning backend=none with an empty list and exit 0 from a residential IP - see the remediation log."
